"","achievement_count","athlete_count","athlete.id","athlete.resource_state","average_speed","comment_count","commute","distance","elapsed_time","elev_high","elev_low","end_latlng1","end_latlng2","external_id","flagged","gear_id","has_heartrate","has_kudoed","id","kudos_count","location_city","location_country","location_state","manual","map.id","map.resource_state","map.summary_polyline","max_speed","moving_time","name","photo_count","private","resource_state","start_date","start_date_local","start_latitude","start_latlng1","start_latlng2","start_longitude","timezone","total_elevation_gain","total_photo_count","trainer","type","upload_id","workout_type","hum"
"11",5,1,"11307443",1,13.4028,0,"FALSE",5.048,1385,176.2,145.6,38.65,-90.3,"1A9C777E-AD73-40E9-A2D2-DACC061501F9","FALSE","g1762053","FALSE","FALSE","745847103",1,"Saint Louis","United States","Missouri","FALSE","a745847103",2,"eg{jFdzcfPph@pL`e@bE|AsA`@uDyAgP|BiAfCi\i@uEr@pBwAr\aDdGv@tQcCfB}d@}D{e@gK{B{ANeEUhD",19.44,1356,"Afternoon Run",0,"FALSE",2,"2016-10-15T21:54:58Z","2016-10-15T16:54:58Z",38.65,38.65,-90.3,-90.3,"(GMT-06:00) America/Chicago",49,0,"FALSE","Run","823291292",NA,0
"12",6,1,"11307443",1,13.2948,2,"FALSE",5.0488,1459,176.4,143.9,38.65,-90.3,"82E3C87B-A8EF-4865-9F05-D4556E0A7591","FALSE","g1762053","FALSE","FALSE","744664661",1,"Saint Louis","United States","Missouri","FALSE","a744664661",2,"}f{jFdzcfPph@lLbe@dEpBwCkAiRrBiBzByV[uKp@bBwAj]wC|Fx@`QcCvCge@kE_f@wK}BwB`@cEMnG",20.88,1367,"Afternoon Run",0,"FALSE",2,"2016-10-14T21:42:29Z","2016-10-14T16:42:29Z",38.65,38.65,-90.3,-90.3,"(GMT-06:00) America/Chicago",49.9,0,"FALSE","Run","821754001",NA,0
"13",14,1,"11307443",1,13.2012,0,"FALSE",9.1626,2536,176,139.2,38.65,-90.3,"3045C113-0A15-470C-BD98-7D360179FDB1","FALSE","g1762053","FALSE","FALSE","743875897",1,"Saint Louis","United States","Missouri","FALSE","a743875897",2,"ah{jFdycfPrh@`Mpe@jEfBuAXqFuAkMrBoA|A_NNoUzAq@v@kSwAqE_@}Or@mDwBeKLmFfCwByCwNRyNlA}QvJhCjAu@O{RgAuCyHiBgGxCeKn@gIaFcLlCiC}AuF`IeApOcGvBuG|Rm@zL`C|Mw@lGuHhHaGh`B",23.4,2499,"Afternoon Run",0,"FALSE",2,"2016-10-13T22:40:01Z","2016-10-13T17:40:01Z",38.65,38.65,-90.3,-90.3,"(GMT-06:00) America/Chicago",53.8,0,"FALSE","Run","820824775",NA,0
"14",7,2,"11307443",1,13.3092,0,"FALSE",4.9908,1452,175.6,145.8,38.65,-90.3,"E7D5DFD7-B68A-47A4-B567-20285E895300","FALSE","g1762053","FALSE","FALSE","741922766",1,"Saint Louis","United States","Missouri","FALSE","a741922766",2,"mg{jFfzcfPjq@fN`\zBlAwDkCcImLCqIaEfBuYzBiALtQ|GrNyHKGjDbDpCOxBaPc@el@yLyBmAXwDY`D",22.32,1350,"Evening Run",0,"FALSE",2,"2016-10-11T23:08:41Z","2016-10-11T18:08:41Z",38.65,38.65,-90.3,-90.3,"(GMT-06:00) America/Chicago",48.1,0,"FALSE","Run","818552203",NA,0
"15",10,1,"11307443",1,13.0212,1,"FALSE",8.8861,2632,176.2,139,38.65,-90.3,"E8FD2821-F1F5-40FD-8DDC-30926E4DD9F0","FALSE","g1762053","FALSE","FALSE","740953139",1,"Saint Louis","United States","Missouri","FALSE","a740953139",2,"oa{jFr{cfPng@~Krc@~Aa@cTbDyFlAyWs@wGxAe@t@{T{AgETgTsBmKNuF`CiB{CiPVoMnAcR`MzAs@mVuIiCoRzDkJwE{KlCiDyAeFjIeAnOuGbC}F`Qo@bM`CzNu@nFwHjJyGr{AdBjC",19.44,2457,"Evening Run",0,"FALSE",2,"2016-10-10T23:59:45Z","2016-10-10T18:59:45Z",38.65,38.65,-90.3,-90.3,"(GMT-06:00) America/Chicago",54.3,0,"FALSE","Run","817433822",NA,0
"16",2,1,"11307443",1,12.9888,3,"FALSE",4.9976,1473,175.8,143.9,38.65,-90.3,"5466CF19-9595-44C9-B87E-4E98111B6FF9","FALSE","g1762053","FALSE","FALSE","738648217",1,"Saint Louis","United States","Missouri","FALSE","a738648217",2,"gh{jFjycfPro@lNl^tCfBiEoCgH{N[mGaEbC_XaBjQlCnA`CdGcB`@?tExDPhBnG{TcBcl@sLqBwAb@iK]vG",18.36,1385,"Afternoon Run",0,"FALSE",2,"2016-10-08T22:24:16Z","2016-10-08T17:24:16Z",38.65,38.65,-90.3,-90.3,"(GMT-06:00) America/Chicago",44.2,0,"FALSE","Run","814801806",NA,0
"17",8,1,"11307443",1,13.14,0,"FALSE",8.8475,2942,176.1,138.9,38.65,-90.3,"16519141-BB41-4C3D-8122-9A8D50F5D881","FALSE","g1762053","FALSE","FALSE","736646161",1,"Saint Louis","United States","Missouri","FALSE","a736646161",2,"cg{jFfzcfPvm@vM`^zCpCkALyLcAaGrBiB[eCrAoCzAkTk@}EzAq@|@sSuA_FA}U_BkJNiF~BsBsC}NL{NhAqQdK|B`A{@SuRoAuCoH}AmSrDaIsEyHj@eBhBeCeBwFtHiA`PkGxBeGtPw@dOzB`Mq@`HgIjIyFt~A",18.36,2424,"Afternoon Run",0,"FALSE",2,"2016-10-06T21:19:12Z","2016-10-06T16:19:12Z",38.65,38.65,-90.3,-90.3,"(GMT-06:00) America/Chicago",54.8,0,"FALSE","Run","812390620",NA,0
"18",2,1,"11307443",1,12.7296,0,"FALSE",4.9215,1437,181.6,154.7,38.66,-90.31,"704ECD2E-1010-4052-BE01-3CA8407E1D0B","FALSE","g1762053","FALSE","FALSE","735310266",0,"Saint Louis","United States","Missouri","FALSE","a735310266",2,"ws}jFjaefPv@hHjOpBqNnrCpN{rCiPcB",18,1392,"Lunch Run",0,"FALSE",2,"2016-10-05T16:20:35Z","2016-10-05T11:20:35Z",38.66,38.66,-90.31,-90.31,"(GMT-06:00) America/Chicago",26.7,0,"FALSE","Run","810841294",NA,0
"19",2,1,"11307443",1,12.7944,0,"FALSE",4.972,1485,181.5,154.8,38.66,-90.31,"9350C459-D541-4737-B8AF-4A0E66AAAFCE","FALSE","g1762053","FALSE","FALSE","734635674",1,"Saint Louis","United States","Missouri","FALSE","a734635674",2,"qr}jFd`efP[|GvPfDqAnINzHsLx}BnNcsCcPmC",16.56,1399,"Afternoon Run",0,"FALSE",2,"2016-10-04T22:58:58Z","2016-10-04T17:58:58Z",38.66,38.66,-90.31,-90.31,"(GMT-06:00) America/Chicago",26.6,0,"FALSE","Run","810033114",NA,0
"20",4,1,"11307443",1,12.6792,1,"FALSE",5.008,1481,181.5,154.5,38.66,-90.31,"0D5E5F2B-A1D7-491D-A45A-41E15C248D6E","FALSE","g1762053","FALSE","FALSE","733118547",1,"Saint Louis","United States","Missouri","FALSE","a733118547",2,"ot}jFnaefPCfHlRvBcBbJoFr}AyDth@hD_a@xGk{AOeJlAqIyOuC",17.64,1422,"Morning Run",0,"FALSE",2,"2016-10-03T14:48:28Z","2016-10-03T09:48:28Z",38.66,38.66,-90.31,-90.31,"(GMT-06:00) America/Chicago",26.9,0,"FALSE","Run","808319342",NA,0
